precinct_name,majority
0472 LUDDEN,other
0911 WIGWAM CREEK,rep
0751 SHEENA,rep
0175 COUNTRY GABLES,rep
0269 ESCUDA,other
0409 JULIE,other
0742 SENTRY,rep
0700 ROCKLEDGE,rep
0271 ESTRELLA FOOTHILLS,other
0023 ANNETTE,other
0092 CALAVEROS,rep
0319 GLENN,dem
0151 COMET,rep
0737 SCOTTSDALE,other
0337 GREENWAY,rep
0638 PICADILLY,rep
0796 SUN AIRE,rep
0019 AMBER,rep
0636 PERRYVILLE,rep
0190 CULLUMBER,other
0309 GERMANN,other
0082 BUFFALO RIDGE,other
0707 ROSE GARDEN,other
0051 BARNES,rep
0512 MESA VISTA,rep
0147 COLONIA,rep
0826 TARO,other
0457 LOLA,other
0616 PARADISE,other
0525 MOHAVE,rep
0396 INDIGO,other
0932 YUCCA,dem
0912 WIKIEUP,other
0906 WHITTON,rep
0359 HAWES,other
0484 MANDALAY,other
0690 RIO PASEO,other
0883 WAGGONER,dem
0070 BLUEFIELD,other
0278 FALCON,other
0581 OAKTREE,rep
0316 GILBERT GARDENS,other
0671 RAINTREE,other
0012 ALEXANDER,rep
0035 ARTESIAN,other
0202 DEERVIEW,other
0697 ROADMASTER,other
0767 SOLCITO,dem
0434 LAREDO,other
0803 SUNBURST,other
0142 CLUB WEST,other
0133 CITRUS GARDENS,other
0455 LITCHFIELD,other
0541 MUMMY MOUNTAIN,rep
0431 LAMAR,rep
0306 GEMINI,rep
0128 CHRISTY,other
0282 FIESTA RANCH,other
0617 PARADISE PARK,other
0679 REDWING,other
0293 FRANKLIN,other
0056 BERYL,rep
0268 ESCONDIDO,other
0890 WENDY,other
0420 KINGS,other
0646 PINON,other
0443 LAYTON LAKES,other
0001 ACACIA,other
0726 SAN PEDRO,other
0004 ADOBE,other
0752 SHEFFIELD,other
0314 GILA BEND,other
0141 CLOVIS,other
0160 COPPERWOOD,rep
0157 CONTENTION MINE,other
0323 GOLDEN,other
0685 RHODES,other
0105 CARDINAL,dem
0835 TIERRA NORTE,other
0640 PILGRIM,other
0818 SUNUP,other
0537 MOUNTAIN SKY,other
0488 MARICOPA,other
0934 YUMA,other
0781 SPRINGS,other
0603 PALM HARBOR,other
0641 PILLAR,other
0009 AHWATUKEE,dem
0294 FREEDOM,other
0866 VARNEY PARK,other
0868 VERANO,other
0907 WHYMAN,other
0926 WOOD,other
0291 FOX CROSSING,other
0897 WESTGREEN PARK,other
0546 NEELY,other
0065 BLACKHAWK,other
0155 CONCORD,other
0877 VISTA,other
0185 CRISMON,other
0020 ANDERSON,other
0193 DAISY,other
0915 WILDWOOD,other
0230 DOBSON RANCH,other
0325 GOLDEN HILLS,other
0243 DURANGO,other
0588 ONYX,other
0430 LAKEWOOD,dem
0811 SUNNY HIGH,dem
0037 ASHLAND RANCH,other
0657 PORTLAND,other
0435 LARKSPUR,other
0030 ARCADIA,dem
0450 LILAC,other
0790 STELLAR,other
0867 VELERO,other
0260 EMMETT,other
0080 BUCKEYE,other
0067 BLUE HORIZONS,other
0389 HUBBELL,dem
0267 ESCOBAR,other
0585 OLD WEST,other
0475 LUPINE,dem
0855 TURF PARADISE,other
0930 YOUNGTOWN,other
0815 SUNRISE,other
0311 GETTY,other
0746 SHADY GLEN,other
0110 CARON,other
0356 HASSAYAMPA,dem
0806 SUNDANCE WEST,other
0361 HAYWARD,other
0717 SAHUARO RANCH,other
0551 NORTH,other
0118 CENTENNIAL,other
0731 SANTA FE,other
0167 CORONADO,other
0612 PALO VERDE,other
0400 JANICE,other
0922 WINDMILL,other
0209 DESERT EDGE,other
0076 BRACKEN,other
0414 KACHINA,dem
0218 DESERT ROSE,other
0522 MISSION,other
0393 INDIAN BEND,other
0166 CORONA,other
0517 MILLER,other
0729 SANDIA,dem
0719 SALT RIVER,other
0554 NORTON,dem
0762 SIMIS,dem
0858 TWILIGHT,other
0223 DESOTO,other
0706 ROSE,other
0772 SOUTH MTN PARK,dem
0792 STRADA,other
0162 CORBELL,dem
0302 GARDNER,other
0204 DEL RIO,other
0021 ANDORA,other
0069 BLUEBIRD,other
0805 SUNDANCE,other
0310 GERONIMO,other
0044 AVIATION,other
0655 PORT ROYALE,other
0412 JUPITER,other
0542 MUSKET,other
0886 WATER WORKS,other
0579 OAKGROVE,other
0062 BISHOP,other
0701 ROCKWOOD,other
0474 LUKE FIELD,other
0804 SUNCLIFF,other
0505 MCKEMY,other
0654 PONDEROSA,other
0257 ELLSWORTH PARK,other
0111 CARRIAGE LANE,dem
0880 VOGEL,other
0221 DESERT THUNDER,other
0333 GRAYSON,other
0592 ORANGEWOOD FARMS,other
0426 LA REATA,other
0241 DUKE,other
0663 PUEBLO,other
0235 DOVER,dem
0766 SOLANO,dem
0682 REFLECTION,other
0366 HIBISCUS,dem
0318 GLENCROFT,other
0673 RANCHO MIRAGE,other
0738 SCUDDER,dem
0208 DESERT COVE,dem
0215 DESERT MIRAGE,other
0225 DEVONSHIRE,dem
0375 HOHOKAM PARK,other
0749 SHAW BUTTE,other
0607 PALMBROOK,other
0602 PALM GARDENS,other
0677 REDDEN,dem
0876 VIRGINIA,other
0482 MAGIC STONE,other
